房间,物件,动作,模型节点,距离上限（米）,页数,内容
A0,小龙灯,toggle,INT_A0_prop_0,2.1,0,暖粉色的光落在薄纸旁边。
A0,奇怪的鞋,inspect,INT_A0_prop_1,2.1,0,左右两只的形状略有不同。
A0,刻刀,inspect,INT_A0_prop_2,2.1,0,刀帽放在手边。
A0,纸抽屉,drawer,INT_A0_prop_3,2.1,0,还有几张没用过的蓝色。
A0,窗边,listen,INT_A0_prop_4,2.1,0,从窗缝里能听见一点海风。
A0,桌边小物,inspect,INT_A0_spare,2.1,0,放下时忘了摆正。现在这样也行。
B0,采样桌旁,read,INT_B0_read_0,1.2,1,"输入电平再低一点。
线绕松一点。

今晚只听，不改。"
B0,声响清单,read,INT_B0_read_1,1.2,1,"窗缝 / 杯沿 / 远处的车

还缺一个收尾。"
B0,预算页,read,INT_B0_read_2,1.2,1,"住处。车费。吃饭。

买唱片这一栏先空着。"
B0,录音设备,listen,INT_B0_prop_0,2.1,0,房间里最小的声响也录进来了。
B0,MIDI键盘,listen,INT_B0_prop_1,2.1,0,轻轻按一个音。
B0,吉他,inspect,INT_B0_prop_2,2.1,0,弦上留着手指的痕迹。
B0,桌灯,toggle,INT_B0_prop_3,2.1,0,电脑旁边暖了一点。
B0,收纳抽屉,drawer,INT_B0_prop_4,2.1,0,线材各绕一圈，松松放着。
B0,桌边小物,inspect,INT_B0_spare,2.1,0,放下时忘了摆正。现在这样也行。
